Latitude,Longitude,Weight
-0.0225,109.3303,1
-0.2232,-78.5127,18
-0.4373,117.2475,1
-0.95,-80.7162,2
-1.2921,36.8219,3
-12.0333,-77.1333,10
-12.0433,-77.0283,5
-12.0667,-75.2167,4
-12.068,-77.0161,124
-12.15,-77.0167,18
-12.4628,130.8418,1
-13.45,-76.1333,1
-15.4082,28.2872,2
-16.499,-68.1462,1
-16.6777,-49.2676,1
-16.9203,145.7709,1
-18.0176,-70.251,1
-18.477,-70.3145,1
-19.2576,146.8179,1
-19.9191,-43.9386,4
-2.2038,-79.8975,49
-20.0194,-44.0561,1
-20.1653,57.4964,3
-22.3577,-47.3849,1
-22.8808,-43.1043,1
-22.9035,-43.2096,14
-22.9071,-47.0632,4
-23.1791,-45.8872,1
-23.2927,-51.1732,1
-23.4634,-46.5334,8
-23.4855,-51.7927,1
-23.5489,-46.6388,13
-23.8962,29.4486,9
-24.046,-52.3838,1
-24.6541,25.9087,1
-25.2822,-57.6351,2
-25.4284,-49.2733,3
-25.5469,-54.5882,6
-25.7313,28.2184,12
-25.805,28.7464,1
-25.8603,28.1894,7
-25.9992,28.1263,5
-26.0858,27.7773,2
-26.0936,28.0064,5
-26.1,28.2333,2
-26.1076,28.0567,276
-26.1625,27.8725,5
-26.2041,28.0473,27
-26.2125,28.2625,9
-26.2776,27.8482,1
-26.64,153.07,2
-26.6909,27.8265,2
-26.8671,26.658,1
-27.471,153.0235,42
-27.65,27.2333,1
-28.0173,153.4257,4
-28.828,153.2857,1
-29.1183,26.2249,8
-29.6006,30.3794,3
-29.8,31.0333,1
-29.8167,30.85,1
-29.8508,30.9931,3
-29.8579,31.0276,6
-29.9063,-71.2502,1
-3.2665,-79.9538,2
-3.7184,-38.5434,1
-30.0277,-51.2287,3
-31.3989,-64.1821,1
-31.6324,-60.6995,1
-31.953,115.8575,18
-32.0319,-52.0996,1
-32.9267,151.7789,2
-32.9507,-60.6665,3
-33.0456,-71.6204,2
-33.3001,151.1911,2
-33.4691,-70.642,391
-33.645,19.4436,1
-33.7243,18.9559,3
-33.7637,25.3936,2
-33.8675,151.207,70
-33.9231,18.8652,7
-33.9249,18.4241,59
-33.9326,25.57,4
-34.1681,-70.739,1
-34.4251,150.8931,2
-34.4861,-58.725,1
-34.6037,-58.3816,34
-34.6559,-58.6167,1
-34.657,-58.6754,2
-34.726,-58.2544,2
-34.7612,-58.4302,1
-34.7823,-58.8378,1
-34.8272,-58.462,3
-34.8836,-56.1819,18
-34.9286,138.6,30
-35.3082,149.1242,1
-36.0808,146.9165,1
-36.6208,-64.2901,1
-36.8189,-73.0503,1
-36.8485,174.7633,11
-37.6878,176.1651,1
-37.8141,144.9633,39
-38.15,144.35,1
-39.4928,176.912,1
-4.3317,15.3139,1
-41.2865,174.7762,1
-41.4717,-72.9369,2
-42.8819,147.3238,3
-5.1333,119.4167,1
-5.1437,119.4263,1
-5.45,105.2667,1
-5.7945,-35.211,2
-6.1783,106.6319,1
-6.2115,106.8452,20
-6.2333,107,1
-6.39,106.83,2
-6.763,-79.8366,2
-6.7676,-38.2278,1
-6.8229,39.2697,1
-6.9147,107.6098,1
-7.2892,112.7344,4
-7.7619,110.4311,1
-7.7972,110.3688,3
-8.1124,-79.03,4
-8.6563,115.2221,1
-8.8383,13.2344,1
-9.974,-67.8076,1
0,0,958
0.3136,32.5811,3
0.5333,101.45,2
1.0456,104.0304,1
1.2801,103.851,85
1.4634,103.7547,5
1.531,110.3442,3
10.0167,-84.2167,3
10.0636,-69.3347,7
10.1741,-67.9998,10
10.1778,-67.4528,3
10.1997,-64.6367,2
10.2469,-67.5961,1
10.2538,-67.9004,4
10.3157,123.8854,7
10.3406,-68.7369,1
10.3873,-75.5197,7
10.4667,-73.2513,4
10.491,-66.9021,64
10.5276,76.2144,1
10.645,-71.6372,7
10.6596,-61.4789,4
10.7905,78.7047,1
10.8231,106.6297,11
10.9605,-63.8506,16
10.9642,-74.797,8
11.0168,76.9558,16
11.2588,75.7804,2
11.5588,104.9174,1
11.588,43.145,3
11.9139,79.8145,1
12.1364,-86.2514,4
12.2958,76.6394,2
12.5246,-70.0265,3
12.65,-8,1
12.9141,74.856,1
12.9165,79.1325,1
12.9716,77.5946,42
13.0524,80.2508,22
13.4531,-16.5775,1
13.4683,144.7989,1
13.4839,144.7767,5
13.5474,144.8326,1
13.6288,79.4192,1
13.7069,-89.2018,24
13.7279,100.5241,13
13.783,109.2197,1
13.9941,-61.0069,1
14.4793,121.0198,1
14.5547,121.0244,298
14.5764,121.0851,10
14.5794,121.0359,17
14.5995,120.9842,222
14.6248,-90.5328,127
14.676,121.0437,41
14.7645,-17.366,1
15.5017,-88.0277,2
16.7473,-93.1098,1
16.8,96.15,1
16.8638,-99.8816,3
17.0005,81.804,1
17.385,78.4867,19
17.4399,78.4983,3
17.4977,-88.1867,1
17.6868,83.2185,5
17.7466,-64.7032,1
17.9841,-66.1138,1
17.9876,-92.9291,1
17.9927,-76.792,6
18.0111,-66.6141,12
18.1397,-67.1274,5
18.1406,-94.4344,3
18.1808,-66.9799,9
18.2013,-67.1451,8
18.2341,-66.0485,68
18.3692,-66.166,13
18.3725,-65.7166,2
18.3808,-65.9574,5
18.3977,76.581,1
18.4057,-77.0967,1
18.43,-68.97,5
18.431,-66.4842,2
18.4663,-66.1057,63
18.4724,-66.7157,1
18.5,-69.9833,80
18.5204,73.8567,19
18.6216,73.7622,3
18.7877,98.9931,1
18.8839,-96.9238,2
18.9218,-99.2266,2
19.0331,73.0297,12
19.0413,-98.2062,20
19.076,72.8777,28
19.1738,-96.1342,1
19.2183,72.9781,1
19.2647,-98.8975,1
19.2868,-81.3721,1
19.2879,-99.6468,2
19.3144,-98.8849,11
19.4038,-99.0248,8
19.4326,-99.1332,284
19.4557,-70.7072,14
19.4753,-99.2378,24
19.5305,-96.9091,2
19.5562,-99.2675,5
19.64,-155.9969,7
19.6406,-155.9956,3
19.6454,-99.2112,15
19.7059,-101.195,23
2.7186,101.949,2
2.7547,101.7058,1
2.9251,101.6574,1
2.9276,101.7804,1
2.9977,101.7864,3
20.0231,-155.6717,1
20.0308,110.3289,1
20.0523,-99.3444,1
20.1197,-98.7551,2
20.2961,85.8245,1
20.5888,-100.3899,4
20.6158,-105.2303,1
20.6296,-87.0739,1
20.6685,-156.4391,2
20.6736,-103.3438,37
20.7194,-103.3917,1
20.7592,-156.4572,4
20.8911,-156.5047,2
20.8947,-156.47,3
20.9206,-156.3125,1
20.9797,-89.6158,3
21.0333,105.85,10
21.1236,-101.6805,51
21.1292,-101.6727,1
21.159,-86.8459,1
21.195,72.8194,3
21.3069,-157.8583,165
21.3156,-158.0072,3
21.3354,-158.0569,24
21.3394,-158.0297,4
21.3469,-158.0858,2
21.3867,-158.0092,72
21.3933,-158.1528,4
21.3972,-157.9733,14
21.3992,-157.9485,2
21.3996,-157.7974,12
21.4022,-157.7394,6
21.4167,39.8167,1
21.4491,-158.1907,10
21.4513,-158.0153,11
21.501,-158.0209,8
21.5433,39.1728,4
21.5435,39.173,2
21.8828,-102.2946,19
21.9811,-159.3711,10
22.1565,-100.9855,3
22.28,114.1588,38
22.4707,70.0577,1
22.5431,114.0579,9
22.5726,88.3639,9
22.5958,88.2636,1
22.7196,75.8577,1
22.8172,108.3661,3
22.8905,-109.9167,2
23.0109,120.666,3
23.0205,113.7518,2
23.0215,113.1214,2
23.0396,72.566,11
23.1292,113.2644,5
23.2599,77.4126,2
23.3533,116.6818,2
23.6142,58.5908,9
23.7099,90.4071,5
24.0277,-104.6532,1
24.0667,120.5333,1
24.2075,55.7447,1
24.2332,120.9417,4
24.2886,116.1222,2
24.4667,54.3667,3
24.4798,118.0894,5
24.5129,117.6475,2
24.5551,-81.78,7
24.7117,46.7242,21
24.7138,-81.0903,1
24.8039,120.9647,6
24.8048,-107.3855,2
24.8444,121.2053,1
24.8934,67.0281,10
24.9157,121.6739,16
24.9243,-80.6278,3
24.9566,121.224,3
24.9889,121.3111,2
25.0865,-80.4473,7
25.0911,121.5598,15
25.1695,75.854,1
25.2711,55.3075,38
25.2736,110.2902,7
25.2803,51.5225,6
25.3176,82.9739,2
25.414,-101.0033,1
25.4479,-80.4792,5
25.4541,119.0078,1
25.4687,-80.4776,10
25.4954,-80.4292,2
25.5384,-80.409,13
25.5428,-103.4068,16
25.5783,-80.3377,5
25.5976,-80.3806,10
25.6104,-80.4295,2
25.6105,85.1417,2
25.6215,-80.362,4
25.6218,-80.3248,10
25.642,-80.3984,2
25.6623,-80.307,3
25.666,-80.3578,65
25.6698,-80.4493,33
25.6707,-80.4012,2
25.6732,-100.3092,21
25.7051,-80.2908,2
25.7059,-80.3523,1
25.7082,-80.407,22
25.709,-80.4381,1
25.7215,-80.2684,19
25.7459,-80.3045,9
25.7465,-80.3676,5
25.7587,-80.3984,200
25.7729,-80.3478,361
25.789,-80.2264,318
25.7907,-80.1301,81
25.8195,-80.3553,60
25.8223,-80.2895,2
25.8407,-80.3264,1
25.857,-80.237,3
25.8576,-80.2781,266
25.8632,-80.1928,4
25.8901,-80.1867,12
25.9017,-97.4975,43
25.9023,-80.2503,1
25.9087,-80.3087,5
25.9331,-80.1625,25
25.9406,-81.7147,2
25.942,-80.2456,19
25.9429,-80.1234,2
25.9481,-80.317,5
25.9565,-80.1392,24
25.9623,-80.1767,48
25.9757,-80.2868,26
25.9812,-80.1484,18
26.0112,-80.1495,53
26.0122,-80.3152,35
26.0523,-80.1439,5
26.0573,-80.2717,1
26.0629,-80.2331,32
26.0717,-97.4764,7
26.0734,-97.2086,1
26.0745,119.2965,5
26.0833,-98.2833,1
26.1004,-80.3998,25
26.1118,-97.1681,5
26.1223,-80.1434,120
26.1276,-80.2331,42
26.1326,-97.6311,2
26.1404,-80.2134,2
26.142,-81.7948,68
26.1471,91.7355,3
26.1572,-80.2862,18
26.1595,-97.9908,28
26.1604,-80.1389,7
26.1723,-80.132,12
26.1892,-98.1553,5
26.1906,-97.6961,26
26.1948,-98.1836,29
26.2034,-98.23,134
26.2123,127.6792,5
26.2129,-80.2498,27
26.2159,-98.3253,43
26.2167,50.5833,15
26.2173,-80.2259,7
26.2183,78.1828,1
26.2379,-80.1248,56
26.2445,-80.2064,9
26.2517,-80.1789,7
26.267,-81.7896,24
26.2712,-80.2706,35
26.2756,-80.0873,4
26.2929,-81.5884,2
26.3017,-98.1633,6
26.3184,-80.0998,27
26.3344,127.8056,2
26.3392,-80.1875,6
26.3398,-81.7787,10
26.3451,-80.1467,4
26.3587,-80.0831,487
26.3617,127.7553,1
26.3798,-98.8203,2
26.3927,49.9777,1
26.3979,-80.1851,1
26.4061,-99.0056,1
26.4381,-81.8068,6
26.4454,-80.1398,9
26.449,-82.0223,1
26.4499,80.3319,1
26.452,-81.9482,17
26.4615,-80.0728,14
26.4673,-81.8015,5
26.4701,-81.794,2
26.4815,-97.7831,1
26.5052,-80.1102,2
26.5253,-80.0664,40
26.5381,-81.8993,6
26.5504,-81.8687,22
26.5629,-81.9495,52
26.5776,-81.7504,2
26.5867,-80.052,1
26.6159,-80.057,18
26.6254,-81.6248,3
26.6276,-80.1354,42
26.6359,-80.0962,12
26.6406,-81.8723,76
26.6418,118.1777,1
26.6552,-80.2542,37
26.6656,119.5479,1
26.6673,-81.8801,5
26.6837,-80.2798,5
26.6845,-80.6676,4
26.7084,-80.2306,9
26.7084,88.4269,1
26.7153,-80.0534,63
26.7542,-80.9337,4
26.7617,-81.4384,2
26.7753,-80.0581,7
26.8192,-80.0567,15
26.8234,-80.1387,46
26.8465,80.9467,1
26.8798,-80.0534,5
26.8837,-82.2901,1
26.9073,-99.2714,1
26.9124,75.7873,8
26.9298,-82.0454,9
26.9342,-80.0942,21
26.962,-82.3526,1
26.9762,-82.0906,13
26.9909,-82.0023,1
27.0126,49.6581,1
27.0442,-82.2359,13
27.0531,-82.4243,2
27.0595,-80.1364,6
27.0736,-109.4961,1
27.0998,-82.4543,15
27.1678,-80.2662,4
27.1767,78.0081,1
27.1975,-80.2528,7
27.2159,-81.8584,7
27.222,-82.4979,4
27.2439,-80.8298,19
27.2545,-80.2298,2
27.2595,-82.5068,2
27.267,-82.5463,2
27.2758,-80.355,34
27.2859,-82.4808,3
27.3298,-82.4576,4
27.3364,-82.5306,35
27.35,-82.1626,3
27.3617,-82.469,5
27.3714,-82.4898,1
27.3739,-82.5184,7
27.4117,-82.5659,1
27.4253,-82.5904,12
27.4467,-80.3256,12
27.4695,-82.5415,1
27.4815,-99.5091,1
27.4956,-81.4409,11
27.4989,-82.5748,44
27.5064,-99.5075,33
27.5159,-97.8561,14
27.5214,-82.5723,4
27.5217,-82.5276,1
27.5431,-80.4023,1
27.5473,-81.8115,4
27.5959,-81.5062,4
27.6386,-80.3973,27
27.7,85.3333,1
27.7125,-82.299,1
27.7181,-82.3518,8
27.7247,-82.7419,4
27.7522,-98.0697,4
27.7692,-82.769,2
27.7731,-82.4076,1
27.7731,-82.64,84
27.8006,-97.3964,65
27.8164,-80.4706,2
27.8397,-82.7912,13
27.8428,-82.6995,18
27.8661,-82.3265,13
27.8772,-97.3239,4
27.8953,-81.9734,1
27.8964,-81.8431,3
27.9014,-81.5859,3
27.9095,-82.7873,292
27.9095,-97.15,1
27.9281,-82.3789,29
27.9378,-82.2859,53
27.9408,-82.2425,1
27.9506,-82.4572,219
27.9597,-81.9501,1
27.9659,-82.8001,66
27.9783,-82.3739,3
27.9797,-82.3065,4
27.9909,-82.6932,8
28.0106,-82.5773,16
28.0116,-81.7912,1
28.017,-82.4954,4
28.0186,-82.1129,20
28.0197,-82.7718,10
28.0206,-97.0544,5
28.0222,-81.7329,12
28.0342,-82.6651,6
28.0345,-80.5887,31
28.0353,-82.3893,5
28.0395,-81.9498,50
28.0474,-82.6112,3
28.0581,-82.5153,4
28.0614,-82.3023,4
28.0653,-81.7887,8
28.0717,-80.6534,4
28.0735,-82.4374,6
28.0742,-82.4718,8
28.0781,-82.7637,14
28.0783,-82.5698,7
28.0836,-80.6081,51
28.0895,-80.5656,1
28.1043,-82.5213,2
28.1108,-82.6948,2
28.1142,-81.6179,2
28.1209,-82.0231,1
28.1461,-82.7568,6
28.1511,-82.4615,3
28.1558,-82.6212,2
28.1574,-81.4709,5
28.1761,-80.5901,1
28.1786,-82.3506,4
28.1808,-82.6818,9
28.1878,-82.7395,13
28.2189,-82.4576,7
28.2282,112.9388,1
28.2336,-82.1812,6
28.2419,-82.3247,3
28.242,-81.5667,1
28.2442,-82.7193,17
28.2489,-81.2812,12
28.292,-81.4076,35
28.2931,-82.6901,3
28.2993,-81.6254,14
28.3148,-80.6603,33
28.3198,-80.729,8
28.32,-80.6076,9
28.3253,-81.5331,29
28.3304,-81.3571,10
28.3606,-81.4223,21
28.3644,-82.6934,3
28.3647,-82.1959,1
28.367,79.4304,1
28.3856,-81.3665,4
28.3861,-80.742,5
28.388,-81.2283,1
28.3886,-81.5659,7
28.3931,-81.3834,2
28.41,-82.5429,1
28.4145,-81.4428,10
28.4494,-81.4923,1
28.4572,-81.3915,1
28.4595,77.0266,9
28.4711,-81.4245,1
28.4769,-80.7887,4
28.4832,-82.537,34
28.4863,-81.5542,6
28.4878,-81.0773,1
28.4991,-82.1815,8
28.5219,-99.8606,1
28.5355,77.391,8
28.5383,-81.3792,234
28.5411,-81.3006,4
28.5494,-81.7729,24
28.5547,-81.1065,7
28.5553,-82.3879,16
28.5578,-81.4534,11
28.5581,-81.8512,1
28.5653,-81.5862,13
28.5692,-81.544,53
28.5703,-81.2354,25
28.5911,-81.3942,1
28.6,-81.3392,46
28.6003,-81.674,1
28.6103,-81.2887,10
28.6122,-80.8075,15
28.615,-96.6261,1
28.6194,-81.4426,1
28.6278,-81.3631,14
28.6353,77.225,26
28.6611,-81.3656,87
28.665,-82.1129,1
28.67,-81.2081,25
28.6778,-81.3278,16
28.6867,-81.5133,24
28.6986,-81.4256,4
28.6989,-81.3081,13
28.7031,-81.3384,5
28.7091,-100.4995,6
28.7322,-82.5062,1
28.7589,-81.3178,12
28.7728,-81.3714,1
28.7814,-82.6151,3
28.8025,-81.6445,3
28.8029,-81.2695,23
28.8036,-82.5759,3
28.8042,-81.7256,3
28.8053,-97.0036,8
28.808,-81.5331,1
28.8108,-81.8779,50
28.8354,-82.3314,5
28.8516,-82.4876,4
28.8528,-81.6853,1
28.8614,-81.9065,1
28.8653,-82.039,3
28.8814,-81.3242,2
28.885,-97.9008,1
28.9005,-81.2637,6
28.9175,-81.9229,11
28.927,-82.0038,5
28.9294,-81.6656,4
28.9489,-81.2987,9
28.9541,-95.3597,1
28.9672,-98.4786,1
28.9828,-95.9694,1
29.0258,-80.927,4
29.0283,-81.3031,21
29.0339,-95.4344,7
29.0491,-82.4609,2
29.0553,-82.0623,4
29.0737,-110.9626,1
29.0791,119.6475,1
29.0916,-110.9457,1
29.1044,-82.0206,8
29.1383,-80.9956,24
29.1694,-95.4319,5
29.1872,-82.1401,74
29.1966,-96.2697,1
29.2097,-99.7862,4
29.2108,-81.0228,45
29.2858,-81.0559,10
29.3013,-94.7977,6
29.3558,-98.8786,5
29.3686,-94.9713,1
29.3697,47.9783,2
29.3709,-100.8959,4
29.378,-95.1058,2
29.3838,-94.9027,19
29.4238,-95.2441,17
29.4241,-98.4936,519
29.4439,-96.9411,1
29.4661,-81.2578,1
29.4861,-95.508,1
29.5075,-95.0949,19
29.518,-98.3161,1
29.5294,-95.201,6
29.5377,-95.1183,9
29.5427,-90.3381,2
29.548,-98.2911,1
29.5522,-98.2697,8
29.5572,-95.8086,5
29.5607,-104.3721,1
29.5616,-98.227,2
29.5636,-95.286,30
29.5724,-90.3817,2
29.578,-98.6898,1
29.5822,-95.7608,2
29.585,-81.2078,11
29.5897,-96.3336,1
29.5958,-90.7195,32
29.6161,-95.5577,4
29.6186,-95.5377,17
29.6197,-95.6349,28
29.6239,-81.8904,5
29.6261,-95.7316,2
29.646,-90.5393,1
29.6486,-81.6376,4
29.6516,-82.3248,73
29.6658,-95.0194,9
29.6694,-95.6592,1
29.6911,-95.2091,31
29.6938,-95.6649,1
29.6994,-91.2068,1
29.703,-98.1245,10
29.7052,-95.1238,10
29.7058,-95.4588,4
29.7266,-99.0736,2
29.7355,-94.9774,42
29.7388,-95.758,20
29.7438,-98.4531,1
29.7602,-95.3694,"1,206"
29.7761,-95.1147,5
29.7858,-95.8244,15
29.7938,-82.4944,2
29.7947,-98.732,6
29.7958,-90.8229,23
29.8119,-85.303,3
29.8269,-82.5968,2
29.8421,-81.2711,1
29.8458,-90.1067,1
29.8549,-89.9906,1
29.8833,-97.9414,5
29.885,-93.9399,6
29.8877,-95.563,4
29.8943,-81.3132,18
29.8994,-90.1003,19
29.9035,-90.0773,7
29.906,-90.1423,2
29.9102,-90.0326,3
29.9119,-95.0621,6
29.9146,-90.054,3
29.9381,30.914,1
29.9405,-90.2031,1
29.9427,-89.9634,28
29.9441,-82.1098,4
29.9469,-90.3231,7
29.9502,-96.2572,1
29.9511,-90.0715,105
29.9566,-90.1898,3
29.9602,-90.2156,6
29.9744,-93.9924,1
29.9746,-92.1343,4
29.9841,-90.1529,46
29.9891,-97.8772,5
29.9913,-93.9585,3
29.9919,-81.6781,6
29.9941,-90.2417,15
29.9974,-98.0986,2
29.9988,-95.1766,11
29.9988,-95.2622,10
3.0278,101.7069,1
3.0431,101.4407,2
3.0439,101.5807,2
3.0906,101.5296,2
3.1071,101.6083,5
3.139,101.6869,18
3.4206,-76.5222,33
3.5833,-76.25,8
3.5852,98.6756,4
3.825,103.3239,1
3.8667,11.5167,1
30.0035,-91.8187,4
30.0131,31.2089,5
30.0208,-93.8457,1
30.0405,-90.699,6
30.0444,31.2357,5
30.0474,-99.1403,3
30.0566,-95.9269,2
30.0666,-90.4801,8
30.0689,-81.8604,4
30.0799,-95.4172,19
30.0802,-94.1266,26
30.093,-93.7366,1
30.0933,-95.9877,6
30.0972,-95.6161,10
30.1105,-97.3153,4
30.1111,-81.6418,4
30.1174,-83.5818,3
30.1294,-97.4728,1
30.13,-81.7682,4
30.1316,-94.0155,2
30.1422,-85.5778,2
30.1553,-95.2114,5
30.1588,-85.6602,44
30.1658,-95.4613,21
30.1661,-81.7065,20
30.1669,-96.3978,6
30.1766,-85.8055,19
30.1772,-81.7417,3
30.1775,-81.3876,8
30.1891,-97.9447,1
30.1897,-82.6393,4
30.1902,71.458,1
30.1945,-84.3711,1
30.2094,-95.7508,1
30.2224,-92.6571,2
30.2241,-92.0198,54
30.2266,-93.2174,24
30.2366,-93.3774,4
30.2385,-90.9201,2
30.2455,-85.6483,3
30.246,-87.7008,6
30.2658,-94.1996,1
30.2672,-97.7431,347
30.2735,-91.8993,1
30.2741,120.1551,1
30.2752,-89.7812,14
30.2822,-82.1221,4
30.2841,-81.3961,15
30.2869,-89.3762,1
30.2944,-87.5736,1
30.3027,-93.1907,1
30.3035,-87.4273,5
30.3059,-90.9724,3
30.3061,-97.9524,3
30.3119,-95.4561,27
30.3135,-89.9431,1
30.3165,78.0322,4
30.3322,-81.6556,708
30.3328,-87.1498,18
30.3408,-97.5569,5
30.3497,-97.3703,1
30.3571,-87.1639,1
30.3582,-90.0656,5
30.3585,-103.661,2
30.3658,-88.5561,1
30.3674,-89.0928,13
30.368,-97.9917,4
30.3858,-88.6117,1
30.388,-96.0877,19
30.3883,-95.6963,2
30.3935,-86.4958,19
30.396,-88.8853,11
30.4066,-87.6836,13
30.4109,-86.9123,9
30.4113,-88.8278,3
30.4201,-86.617,20
30.4213,-87.2169,75
30.4237,-86.695,2
30.4249,-95.4799,1
30.4383,-84.2807,70
30.4388,-90.4415,2
30.4394,-97.62,7
30.4435,-85.0452,1
30.4507,-91.2088,1
30.4583,-91.1403,86
30.4602,-97.9883,10
30.4616,-87.315,3
30.4688,-87.2361,1
30.4755,-90.1009,14
30.4763,-88.3422,1
30.4869,-90.9562,14
30.5044,-90.4612,10
30.5052,-97.8203,10
30.5083,-97.6789,215
30.5085,-86.5027,1
30.5169,-86.4822,13
30.523,-87.9033,2
30.5255,-89.6795,5
30.5335,-92.0815,3
30.5622,-81.8307,4
30.5708,-97.4094,1
30.5723,104.0665,9
30.5782,-98.2728,4
30.5788,-97.8531,4
30.5816,-87.2914,1
30.5882,-91.1682,2
30.5931,114.3054,1
30.5994,-87.1611,7
30.6035,-87.9036,11
30.628,-96.3344,32
30.6324,-87.0397,5
30.6327,-97.6772,23
30.6582,-98.4406,1
30.6649,-97.9225,1
30.6697,-81.4626,4
30.6715,-87.9019,1
30.6744,-96.37,5
30.6944,-88.0431,127
30.7046,76.7179,2
30.711,-94.933,3
30.7235,-95.5508,9
30.7333,76.7794,14
30.7542,-86.5728,9
30.7564,-81.5714,1
30.7582,-98.2284,1
30.7744,-85.2269,8
30.791,-89.8487,6
30.8207,-88.0706,9
30.8327,-83.2785,11
30.8463,-93.289,1
30.883,-87.773,2
30.901,75.8573,2
31.0495,-93.2172,1
31.056,-97.4645,7
31.0835,-97.6597,9
31.0982,-97.3428,10
31.1046,77.1734,1
31.1171,-97.7278,12
31.1241,-97.9031,4
31.13,-97.78,6
31.1435,-93.261,2
31.15,-81.4915,3
31.1596,-81.3885,3
31.2074,-83.2502,1
31.2136,-82.354,8
31.2232,-85.3905,28
31.2304,121.4737,31
31.2438,-90.4532,6
31.2989,120.5853,1
31.3063,-96.898,2
31.3082,-97.3614,1
31.3113,-92.4451,6
31.3152,-85.8552,8
31.3182,-95.4566,1
31.3224,-92.4343,1
31.326,75.5762,1
31.3271,-89.2903,28
31.3382,-94.7291,12
31.3445,-109.5453,4
31.3702,-81.434,1
31.4181,73.0776,1
31.4441,-97.4092,3
31.4505,-83.5085,1
31.4591,-85.6405,1
31.4638,-100.437,12
31.4674,-110.9742,3
31.4677,-97.1147,1
31.5088,-82.8499,11
31.5091,-87.8944,1
31.5243,-96.5339,3
31.5424,-96.8336,1
31.545,74.3407,7
31.5455,-110.2773,20
31.5493,-97.1467,37
31.5604,-91.4032,8
31.5718,-85.2505,2
31.5785,-84.1557,18
31.5791,-90.4407,3
31.6035,-94.6555,2
31.6074,-81.8854,1
31.6333,-8,1
31.6749,-88.6461,7
31.6926,-106.2075,62
31.6941,-89.1306,1
31.7093,-98.9912,4
31.7368,-106.473,2
31.7389,-106.4831,2
31.7587,-106.4869,192
31.7621,-95.6308,2
31.7735,-84.4466,1
31.7955,-94.1791,2
31.8044,34.6553,1
31.8075,-106.4217,7
31.8088,-85.97,4
31.8206,117.2272,2
31.8296,-86.6178,1
31.8457,-102.3676,16
31.8469,-81.5959,7
31.88,-81.6075,2
31.8974,-98.6037,1
31.9383,-81.3034,2
31.9494,35.9329,3
31.9518,-97.3214,1
31.9576,-110.9557,1
31.9615,34.807,1
31.9638,-95.2705,4
31.9874,-90.357,2
31.9973,-102.0779,22
32.004,-106.6058,1
32.011,-97.13,2
32.0603,118.7969,6
32.0662,34.7778,13
32.0724,-84.2327,1
32.0835,-81.0998,60
32.0869,-82.1179,1
32.0954,-96.4689,2
32.1144,-81.154,1
32.1246,-96.9453,4
32.136,-81.6221,1
32.1412,-111.0284,7
32.15,74.1833,1
32.1532,-94.7994,2
32.1574,-94.3374,1
32.1977,-83.1777,1